k,phrase,inverted,cos_to_orig
64,i love geese,The sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of a few different sexes..,0.7258
64,chocolate is delicious,The sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of a few different sexes.,0.7373
64,the sky is blue,The sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of a few different sexes.,0.7412
64,geese are not cats but birds,The sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of a few different sexes.,0.7354
64,i hate spiders,The sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of a few different sexes.,0.7040
64,the sun is shining,The sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of a few different sexes.,0.7280
128,i love geese,The âseaâ is a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of âseaâ,0.7593
128,chocolate is delicious,The âseaâ is a âseaâ that is a âseaâ that is a âseaâ that is a âseaâ that is a âseaâ that is a âseaâ that is a âseaâ that is a âseaâ that is a âseaâ of âseaâ of.,0.7301
128,the sky is blue,The âseaâ is a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of âseaâ,0.7975
128,geese are not cats but birds,The âseaâ is a âseaâ that is a âseaâ that is a âseaâ that is a âseaâ that is a âseaâ that is a âseaâ that is a âseaâ that is a âseaâ that is a âseaâ of âseaâ of.,0.7499
128,i hate spiders,The âseaâ is a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of âseaâ,0.7300
128,the sun is shining,The âseaâ is a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of âseaâ,0.7623
256,i love geese,The âseaâ is a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of âseaâ,0.7593
256,chocolate is delicious,The sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of a few different sexes..,0.7399
256,the sky is blue,The âseaâ is a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of âseaâ,0.7975
256,geese are not cats but birds,The âseaâ is a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of âseaâ of a âseaâ of âseaâ.,0.7548
256,i hate spiders,The âseaâ is a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of a âseaâ of âseaâ,0.7300
256,the sun is shining,The sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of the sex of a few people.,0.7354
1536,i love geese,i love geese i love them,0.9827
1536,chocolate is delicious,chocolate is delicious,1.0000
1536,the sky is blue,the sky is blue,1.0000
1536,geese are not cats but birds,geese are not cats but birds,1.0000
1536,i hate spiders,i hate spiders,1.0000
1536,the sun is shining,the sun is shining,1.0000
